movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1207089人评价
霸王别姬,2,9.6,887306人评价
这个杀手不太冷,3,9.4,1110954人评价
阿甘正传,4,9.4,951691人评价
美丽人生,5,9.5,556045人评价
泰坦尼克号,6,9.3,887476人评价
千与千寻,7,9.3,880010人评价
辛德勒的名单,8,9.5,499527人评价
盗梦空间,9,9.3,968890人评价
机器人总动员,10,9.3,642351人评价
忠犬八公的故事,11,9.3,627144人评价
三傻大闹宝莱坞,12,9.2,867182人评价
海上钢琴师,13,9.2,724269人评价
放牛班的春天,14,9.2,596297人评价
大话西游之大圣娶亲,15,9.2,658094人评价
楚门的世界,16,9.2,638759人评价
教父,17,9.2,439358人评价
星际穿越,18,9.2,653775人评价
龙猫,19,9.1,539089人评价
熔炉,20,9.3,370653人评价
无间道,21,9.1,540459人评价
当幸福来敲门,22,9.0,700502人评价
触不可及,23,9.2,466709人评价
怦然心动,24,9.0,754513人评价
乱世佳人,25,9.2,333732人评价
疯狂动物城,26,9.2,716275人评价
蝙蝠侠：黑暗骑士,27,9.1,433513人评价
天堂电影院,28,9.1,366399人评价
活着,29,9.1,358762人评价
少年派的奇幻漂流,30,9.0,719406人评价
十二怒汉,31,9.4,214382人评价
鬼子来了,32,9.2,297688人评价
指环王3：王者无敌,33,9.1,356734人评价
控方证人,34,9.6,144732人评价
搏击俱乐部,35,9.0,471543人评价
天空之城,36,9.0,414612人评价
飞屋环游记,37,8.9,633359人评价
大话西游之月光宝盒,38,8.9,529518人评价
罗马假日,39,9.0,480336人评价
摔跤吧！爸爸,40,9.1,641476人评价
窃听风暴,41,9.1,284131人评价
辩护人,42,9.2,281642人评价
两杆大烟枪,43,9.1,323398人评价
闻香识女人,44,9.0,407449人评价
哈尔的移动城堡,45,8.9,449130人评价
飞越疯人院,46,9.0,327641人评价
死亡诗社,47,9.0,349647人评价
V字仇杀队,48,8.8,528609人评价
海豚湾,49,9.3,215513人评价
教父2,50,9.1,237606人评价
指环王2：双塔奇兵,51,9.0,334516人评价
指环王1：魔戒再现,52,8.9,374573人评价
美丽心灵,53,8.9,372691人评价
饮食男女,54,9.1,257099人评价
情书,55,8.8,459955人评价
素媛,56,9.1,242468人评价
狮子王,57,8.9,352244人评价
钢琴家,58,9.1,246056人评价
美国往事,59,9.1,212004人评价
小鞋子,60,9.2,177932人评价
七宗罪,61,8.8,513704人评价
被嫌弃的松子的一生,62,8.9,369459人评价
致命魔术,63,8.8,419507人评价
本杰明·巴顿奇事,64,8.8,478116人评价
末代皇帝,65,9.0,240045人评价
西西里的美丽传说,66,8.8,444754人评价
天使爱美丽,67,8.7,572179人评价
黑客帝国,68,8.9,352033人评价
让子弹飞,69,8.7,778401人评价
拯救大兵瑞恩,70,8.9,300601人评价
看不见的客人,71,8.7,471629人评价
音乐之声,72,8.9,280897人评价
低俗小说,73,8.8,411132人评价
勇敢的心,74,8.8,343190人评价
剪刀手爱德华,75,8.7,580904人评价
大闹天宫,76,9.3,136499人评价
沉默的羔羊,77,8.8,420094人评价
蝴蝶效应,78,8.7,461374人评价
哈利·波特与魔法石,79,8.8,349871人评价
春光乍泄,80,8.8,303239人评价
入殓师,81,8.8,361667人评价
心灵捕手,82,8.8,334817人评价
猫鼠游戏,83,8.8,302190人评价
布达佩斯大饭店,84,8.8,401890人评价
禁闭岛,85,8.7,442252人评价
玛丽和马克思,86,8.9,262402人评价
阳光灿烂的日子,87,8.8,328178人评价
第六感,88,8.8,280676人评价
幽灵公主,89,8.8,280687人评价
重庆森林,90,8.7,400063人评价
狩猎,91,9.1,165580人评价
致命ID,92,8.7,385953人评价
穿条纹睡衣的男孩,93,8.9,194458人评价
断背山,94,8.7,383962人评价
加勒比海盗,95,8.6,425950人评价
大鱼,96,8.7,300201人评价
阿凡达,97,8.6,639046人评价
摩登时代,98,9.2,115154人评价
告白,99,8.7,406345人评价
一一,100,9.0,183376人评价
射雕英雄传之东成西就,101,8.7,326845人评价
甜蜜蜜,102,8.8,269176人评价
阳光姐妹淘,103,8.8,322278人评价
消失的爱人,104,8.7,435495人评价
爱在黎明破晓前,105,8.7,268469人评价
上帝之城,106,8.9,178876人评价
小森林 夏秋篇,107,8.9,175260人评价
侧耳倾听,108,8.8,208086人评价
喜剧之王,109,8.6,393257人评价
倩女幽魂,110,8.6,320823人评价
恐怖直播,111,8.7,282206人评价
风之谷,112,8.8,207914人评价
爱在日落黄昏时,113,8.8,237189人评价
超脱,114,8.8,213738人评价
红辣椒,115,8.9,167399人评价
菊次郎的夏天,116,8.8,228723人评价
驯龙高手,117,8.7,345991人评价
幸福终点站,118,8.7,265275人评价
神偷奶爸,119,8.5,465533人评价
借东西的小人阿莉埃蒂,120,8.7,256636人评价
杀人回忆,121,8.7,248382人评价
七武士,122,9.2,93131人评价
岁月神偷,123,8.6,350133人评价
请以你的名字呼唤我,124,8.8,235976人评价
萤火虫之墓,125,8.7,236449人评价
怪兽电力公司,126,8.6,296698人评价
小森林 冬春篇,127,9.0,151674人评价
哈利·波特与死亡圣器(下),128,8.7,332490人评价
谍影重重3,129,8.7,214615人评价
喜宴,130,8.8,166123人评价
东邪西毒,131,8.6,302441人评价
电锯惊魂,132,8.7,232535人评价
贫民窟的百万富翁,133,8.5,444205人评价
疯狂原始人,134,8.7,435149人评价
记忆碎片,135,8.6,325078人评价
7号房的礼物,136,8.7,217794人评价
黑天鹅,137,8.5,481385人评价
萤火之森,138,8.8,200791人评价
真爱至上,139,8.5,359665人评价
英雄本色,140,8.6,215298人评价
超能陆战队,141,8.6,453858人评价
雨人,142,8.6,235503人评价
心迷宫,143,8.7,223971人评价
蝙蝠侠：黑暗骑士崛起,144,8.6,346432人评价
卢旺达饭店,145,8.9,141482人评价
唐伯虎点秋香,146,8.5,418193人评价
海洋,147,9.0,107409人评价
傲慢与偏见,148,8.5,360064人评价
荒蛮故事,149,8.8,179445人评价
纵横四海,150,8.7,182517人评价
海边的曼彻斯特,151,8.6,245720人评价
教父3,152,8.8,157300人评价
虎口脱险,153,8.9,122286人评价
无人知晓,154,9.1,93198人评价
时空恋旅人,155,8.7,246983人评价
完美的世界,156,9.0,98555人评价
寻梦环游记,157,9.0,596485人评价
玩具总动员3,158,8.8,225422人评价
燃情岁月,159,8.7,165644人评价
花样年华,160,8.5,288597人评价
恋恋笔记本,161,8.5,332188人评价
达拉斯买家俱乐部,162,8.7,222356人评价
血战钢锯岭,163,8.7,387462人评价
二十二,164,8.7,131893人评价
雨中曲,165,9.0,106695人评价
魂断蓝桥,166,8.8,146606人评价
穿越时空的少女,167,8.6,213211人评价
猜火车,168,8.5,277942人评价
我是山姆,169,8.8,124973人评价
冰川时代,170,8.5,320431人评价
人工智能,171,8.6,221593人评价
爆裂鼓手,172,8.6,277487人评价
头脑特工队,173,8.7,277844人评价
被解救的姜戈,174,8.6,300412人评价
未麻的部屋,175,8.8,119203人评价
罗生门,176,8.7,149174人评价
浪潮,177,8.7,152631人评价
香水,178,8.4,316889人评价
朗读者,179,8.5,305771人评价
阿飞正传,180,8.5,246032人评价
你的名字。,181,8.4,590982人评价
房间,182,8.8,189180人评价
可可西里,183,8.7,149637人评价
恐怖游轮,184,8.4,383795人评价
模仿游戏,185,8.6,301462人评价
一个叫欧维的男人决定去死,186,8.8,153341人评价
一次别离,187,8.7,150439人评价
忠犬八公物语,188,9.1,75360人评价
战争之王,189,8.6,196610人评价
追随,190,8.9,93882人评价
魔女宅急便,191,8.5,228973人评价
撞车,192,8.6,195778人评价
谍影重重,193,8.5,223461人评价
完美陌生人,194,8.6,252088人评价
地球上的星星,195,8.9,99839人评价
